customer_id,first_name,last_name,email,address,city,country,active
218,VERA,MCCOY,VERA.MCCOY@sakilacustomer.org,1168 Najafabad Parkway,Kabul,Afghanistan,1
441,MARIO,CHEATHAM,MARIO.CHEATHAM@sakilacustomer.org,1924 Shimonoseki Drive,Batna,Algeria,1
69,JUDY,GRAY,JUDY.GRAY@sakilacustomer.org,1031 Daugavpils Parkway,Béchar,Algeria,1
176,JUNE,CARROLL,JUNE.CARROLL@sakilacustomer.org,757 Rustenburg Avenue,Skikda,Algeria,1
320,ANTHONY,SCHWAB,ANTHONY.SCHWAB@sakilacustomer.org,1892 Nabereznyje Tšelny Lane,Tafuna,American Samoa,1
528,CLAUDE,HERZOG,CLAUDE.HERZOG@sakilacustomer.org,486 Ondo Parkway,Benguela,Angola,1
383,MARTIN,BALES,MARTIN.BALES@sakilacustomer.org,368 Huánuco Boulevard,Namibe,Angola,1
381,BOBBY,BOUDREAU,BOBBY.BOUDREAU@sakilacustomer.org,1368 Maracaíbo Boulevard,South Hill,Anguilla,1
359,WILLIE,MARKHAM,WILLIE.MARKHAM@sakilacustomer.org,1623 Kingstown Drive,Almirante Brown,Argentina,1
560,JORDAN,ARCHULETA,JORDAN.ARCHULETA@sakilacustomer.org,1229 Varanasi (Benares) Manor,Avellaneda,Argentina,1
322,JASON,MORRISSEY,JASON.MORRISSEY@sakilacustomer.org,1427 A Coruña (La Coruña) Place,Bahía Blanca,Argentina,1
24,KIMBERLY,LEE,KIMBERLY.LEE@sakilacustomer.org,96 Tafuna Way,Córdoba,Argentina,1
445,MICHEAL,FORMAN,MICHEAL.FORMAN@sakilacustomer.org,203 Tambaram Street,Escobar,Argentina,1
530,DARRYL,ASHCRAFT,DARRYL.ASHCRAFT@sakilacustomer.org,166 Jinchang Street,Ezeiza,Argentina,1
89,JULIA,FLORES,JULIA.FLORES@sakilacustomer.org,1926 El Alto Avenue,La Plata,Argentina,1
107,FLORENCE,WOODS,FLORENCE.WOODS@sakilacustomer.org,1532 Dzerzinsk Way,Merlo,Argentina,1
585,PERRY,SWAFFORD,PERRY.SWAFFORD@sakilacustomer.org,773 Dallas Manor,Quilmes,Argentina,1
243,LYDIA,BURKE,LYDIA.BURKE@sakilacustomer.org,1483 Pathankot Street,San Miguel de Tucumán,Argentina,1
331,ERIC,ROBERT,ERIC.ROBERT@sakilacustomer.org,430 Kumbakonam Drive,Santa Fé,Argentina,1
405,LEONARD,SCHOFIELD,LEONARD.SCHOFIELD@sakilacustomer.org,88 Nagaon Manor,Tandil,Argentina,1
219,WILLIE,HOWELL,WILLIE.HOWELL@sakilacustomer.org,1244 Allappuzha (Alleppey) Place,Vicente López,Argentina,1
41,STEPHANIE,MITCHELL,STEPHANIE.MITCHELL@sakilacustomer.org,42 Brindisi Place,Yerevan,Armenia,1
173,AUDREY,RAY,AUDREY.RAY@sakilacustomer.org,1010 Klerksdorp Way,Graz,Austria,1
159,JILL,HAWKINS,JILL.HAWKINS@sakilacustomer.org,1440 Compton Place,Linz,Austria,1
266,NORA,HERRERA,NORA.HERRERA@sakilacustomer.org,1587 Loja Manor,Salzburg,Austria,1
333,ANDREW,PURDY,ANDREW.PURDY@sakilacustomer.org,431 Székesfehérvár Avenue,Baku,Azerbaijan,1
334,RAYMOND,MCWHORTER,RAYMOND.MCWHORTER@sakilacustomer.org,503 Sogamoso Loop,Sumqayit,Azerbaijan,1
590,SETH,HANNON,SETH.HANNON@sakilacustomer.org,1759 Niznekamsk Avenue,al-Manama,Bahrain,1
332,STEPHEN,QUALLS,STEPHEN.QUALLS@sakilacustomer.org,1838 Tabriz Lane,Dhaka,Bangladesh,1
329,FRANK,WAGGONER,FRANK.WAGGONER@sakilacustomer.org,1816 Bydgoszcz Loop,Jamalpur,Bangladesh,1
21,MICHELLE,CLARK,MICHELLE.CLARK@sakilacustomer.org,262 A Coruña (La Coruña) Parkway,Tangail,Bangladesh,1
527,CORY,MEEHAN,CORY.MEEHAN@sakilacustomer.org,556 Asunción Way,Mogiljov,Belarus,1
144,CLARA,SHAW,CLARA.SHAW@sakilacustomer.org,1027 Songkhla Manor,Molodetšno,Belarus,1
455,JON,WILES,JON.WILES@sakilacustomer.org,659 Gatineau Boulevard,El Alto,Bolivia,1
431,JOEL,FRANCISCO,JOEL.FRANCISCO@sakilacustomer.org,287 Cuautla Boulevard,Sucre,Bolivia,1
551,CLAYTON,BARBEE,CLAYTON.BARBEE@sakilacustomer.org,1407 Pachuca de Soto Place,Alvorada,Brazil,1
307,JOSEPH,JOY,JOSEPH.JOY@sakilacustomer.org,1354 Siegen Street,Angra dos Reis,Brazil,1
229,TAMARA,NGUYEN,TAMARA.NGUYEN@sakilacustomer.org,356 Olomouc Manor,Anápolis,Brazil,1
216,NATALIE,MEYER,NATALIE.MEYER@sakilacustomer.org,1201 Qomsheh Manor,Aparecida de Goiânia,Brazil,1
77,JANE,BENNETT,JANE.BENNETT@sakilacustomer.org,1692 Ede Loop,Araçatuba,Brazil,1
398,ANTONIO,MEEK,ANTONIO.MEEK@sakilacustomer.org,1190 0 Place,Bagé,Brazil,1
362,NICHOLAS,BARFIELD,NICHOLAS.BARFIELD@sakilacustomer.org,1163 London Parkway,Belém,Brazil,1
206,TERRI,VASQUEZ,TERRI.VASQUEZ@sakilacustomer.org,1304 ´s-Hertogenbosch Way,Blumenau,Brazil,1
342,HAROLD,MARTINO,HAROLD.MARTINO@sakilacustomer.org,1293 Nam Dinh Way,Boa Vista,Brazil,1
325,TIMOTHY,BUNN,TIMOTHY.BUNN@sakilacustomer.org,981 Kumbakonam Place,Brasília,Brazil,1
92,TINA,SIMMONS,TINA.SIMMONS@sakilacustomer.org,984 Effon-Alaiye Avenue,Goiânia,Brazil,1
427,JESUS,MCCARTNEY,JESUS.MCCARTNEY@sakilacustomer.org,259 Ipoh Drive,Guarujá,Brazil,1
130,CHARLOTTE,HUNTER,CHARLOTTE.HUNTER@sakilacustomer.org,758 Junan Lane,Águas Lindas de Goiás,Brazil,1
310,DANIEL,CABRAL,DANIEL.CABRAL@sakilacustomer.org,543 Bergamo Avenue,Ibirité,Brazil,1
47,FRANCES,PARKER,FRANCES.PARKER@sakilacustomer.org,686 Garland Manor,Juazeiro do Norte,Brazil,1
591,KENT,ARSENAULT,KENT.ARSENAULT@sakilacustomer.org,32 Liaocheng Way,Juiz de Fora,Brazil,1
183,IDA,ANDREWS,IDA.ANDREWS@sakilacustomer.org,1839 Székesfehérvár Parkway,Luziânia,Brazil,1
246,MARIAN,MENDOZA,MARIAN.MENDOZA@sakilacustomer.org,829 Grand Prairie Way,Maringá,Brazil,1
126,ELLEN,SIMPSON,ELLEN.SIMPSON@sakilacustomer.org,1666 Qomsheh Drive,Poá,Brazil,1
254,MAXINE,SILVA,MAXINE.SILVA@sakilacustomer.org,1338 Zalantun Lane,Poços de Caldas,Brazil,1
74,DENISE,KELLY,DENISE.KELLY@sakilacustomer.org,1206 Dos Quebradas Place,Rio Claro,Brazil,1
178,MARION,SNYDER,MARION.SNYDER@sakilacustomer.org,1891 Rizhao Boulevard,Santa Bárbara d´Oeste,Brazil,1
354,JUSTIN,NGO,JUSTIN.NGO@sakilacustomer.org,519 Nyeri Manor,Santo André,Brazil,1
544,CODY,NOLEN,CODY.NOLEN@sakilacustomer.org,1715 Okayama Street,São Bernardo do Campo,Brazil,1
443,FRANCISCO,SKIDMORE,FRANCISCO.SKIDMORE@sakilacustomer.org,614 Denizli Parkway,São Leopoldo,Brazil,1
314,GEORGE,LINTON,GEORGE.LINTON@sakilacustomer.org,1957 Yantai Lane,Sorocaba,Brazil,1
39,DEBRA,NELSON,DEBRA.NELSON@sakilacustomer.org,306 Antofagasta Place,Vila Velha,Brazil,1
374,JEREMY,HURTADO,JEREMY.HURTADO@sakilacustomer.org,1133 Rizhao Avenue,Vitória de Santo Antão,Brazil,1
91,LOIS,BUTLER,LOIS.BUTLER@sakilacustomer.org,1370 Le Mans Avenue,Bandar Seri Begawan,Brunei,1
540,TYRONE,ASHER,TYRONE.ASHER@sakilacustomer.org,191 José Azueta Parkway,Ruse,Bulgaria,1
215,JESSIE,BANKS,JESSIE.BANKS@sakilacustomer.org,1229 Valencia Parkway,Stara Zagora,Bulgaria,1
516,ELMER,NOE,ELMER.NOE@sakilacustomer.org,1768 Udine Loop,Battambang,Cambodia,1
228,ALLISON,STANLEY,ALLISON.STANLEY@sakilacustomer.org,754 Valencia Place,Phnom Penh,Cambodia,1
352,ALBERT,CROUSE,ALBERT.CROUSE@sakilacustomer.org,1641 Changhwa Place,Bamenda,Cameroon,1
361,LAWRENCE,LAWTON,LAWRENCE.LAWTON@sakilacustomer.org,114 Jalib al-Shuyukh Manor,Yaoundé,Cameroon,1
476,DERRICK,BOURQUE,DERRICK.BOURQUE@sakilacustomer.org,1153 Allende Way,Gatineau,Canada,1
463,DARRELL,POWER,DARRELL.POWER@sakilacustomer.org,1844 Usak Avenue,Halifax,Canada,1
189,LORETTA,CARPENTER,LORETTA.CARPENTER@sakilacustomer.org,891 Novi Sad Manor,Oshawa,Canada,1
410,CURTIS,IRBY,CURTIS.IRBY@sakilacustomer.org,432 Garden Grove Street,Richmond Hill,Canada,1
436,TROY,QUIGLEY,TROY.QUIGLEY@sakilacustomer.org,983 Santa Fé Way,Vancouver,Canada,1
535,JAVIER,ELROD,JAVIER.ELROD@sakilacustomer.org,195 Ilorin Street,NDjamna,Chad,1
45,JANET,PHILLIPS,JANET.PHILLIPS@sakilacustomer.org,1718 Valencia Street,Antofagasta,Chile,1
515,ANDRE,RAPP,ANDRE.RAPP@sakilacustomer.org,568 Dhule (Dhulia) Loop,Coquimbo,Chile,1
464,JEROME,KENYON,JEROME.KENYON@sakilacustomer.org,1872 Toulon Loop,Rancagua,Chile,1
538,TED,BREAUX,TED.BREAUX@sakilacustomer.org,183 Haiphong Street,Baicheng,China,1
495,CHARLIE,BESS,CHARLIE.BESS@sakilacustomer.org,362 Rajkot Lane,Baiyin,China,1
533,JESSIE,MILAM,JESSIE.MILAM@sakilacustomer.org,1332 Gaziantep Lane,Binzhou,China,1
197,SUE,PETERS,SUE.PETERS@sakilacustomer.org,817 Bradford Loop,Changzhou,China,1
260,CHRISTY,VARGAS,CHRISTY.VARGAS@sakilacustomer.org,1158 Mandi Bahauddin Parkway,Datong,China,1
64,JUDITH,COX,JUDITH.COX@sakilacustomer.org,1966 Amroha Avenue,Daxian,China,0
466,LEO,EBERT,LEO.EBERT@sakilacustomer.org,1322 Mosul Parkway,Dongying,China,1
389,ALAN,KAHN,ALAN.KAHN@sakilacustomer.org,753 Ilorin Avenue,Emeishan,China,1
110,TIFFANY,JORDAN,TIFFANY.JORDAN@sakilacustomer.org,804 Elista Drive,Enshi,China,1
313,DONALD,MAHON,DONALD.MAHON@sakilacustomer.org,1774 Yaoundé Place,Ezhou,China,1
211,STACEY,MONTGOMERY,STACEY.MONTGOMERY@sakilacustomer.org,1333 Haldia Street,Fuyu,China,1
281,LEONA,OBRIEN,LEONA.OBRIEN@sakilacustomer.org,1308 Sumy Loop,Fuzhou,China,1
552,HUGH,WALDROP,HUGH.WALDROP@sakilacustomer.org,904 Clarksville Drive,Haining,China,1
165,LORRAINE,STEPHENS,LORRAINE.STEPHENS@sakilacustomer.org,154 Tallahassee Loop,Hami,China,1
138,HAZEL,WARREN,HAZEL.WARREN@sakilacustomer.org,1587 Sullana Lane,Hohhot,China,1
384,ERNEST,STEPP,ERNEST.STEPP@sakilacustomer.org,500 Lincoln Parkway,Huai´an,China,1
168,REGINA,BERRY,REGINA.BERRY@sakilacustomer.org,475 Atšinsk Way,Jinchang,China,1
594,EDUARDO,HIATT,EDUARDO.HIATT@sakilacustomer.org,1837 Kaduna Parkway,Jining,China,1
595,TERRENCE,GUNDERSON,TERRENCE.GUNDERSON@sakilacustomer.org,844 Bucuresti Place,Jinzhou,China,1
435,RICKY,SHELBY,RICKY.SHELBY@sakilacustomer.org,722 Bradford Lane,Junan,China,1
283,FELICIA,SUTTON,FELICIA.SUTTON@sakilacustomer.org,226 Halifax Street,Korla,China,1
151,MEGAN,PALMER,MEGAN.PALMER@sakilacustomer.org,1560 Jelets Boulevard,Laiwu,China,1
422,MELVIN,ELLINGTON,MELVIN.ELLINGTON@sakilacustomer.org,1557 Cape Coral Parkway,Laohekou,China,1
267,MARGIE,WADE,MARGIE.WADE@sakilacustomer.org,1762 Paarl Parkway,Lengshuijiang,China,1
569,DAVE,GARDINER,DAVE.GARDINER@sakilacustomer.org,1052 Pathankot Avenue,Leshan,China,1
129,CARRIE,PORTER,CARRIE.PORTER@sakilacustomer.org,1854 Tieli Street,Liaocheng,China,1
90,RUBY,WASHINGTON,RUBY.WASHINGTON@sakilacustomer.org,1952 Chatsworth Drive,Meixian,China,1
37,PAMELA,BAKER,PAMELA.BAKER@sakilacustomer.org,1440 Fukuyama Loop,Nanyang,China,1
169,ERICA,MATTHEWS,ERICA.MATTHEWS@sakilacustomer.org,1294 Firozabad Drive,Pingxiang,China,0
242,GLENDA,FRAZIER,GLENDA.FRAZIER@sakilacustomer.org,1246 Boksburg Parkway,Qinhuangdao,China,1
496,TYLER,WREN,TYLER.WREN@sakilacustomer.org,1060 Tandil Lane,Rizhao,China,1
546,KELLY,KNOTT,KELLY.KNOTT@sakilacustomer.org,390 Wroclaw Way,Sanya,China,1
424,KYLE,SPURLOCK,KYLE.SPURLOCK@sakilacustomer.org,1269 Botosani Manor,Shanwei,China,1
485,CLYDE,TOBIAS,CLYDE.TOBIAS@sakilacustomer.org,1909 Dayton Avenue,Shaoguan,China,1
378,EUGENE,CULPEPPER,EUGENE.CULPEPPER@sakilacustomer.org,686 Donostia-San Sebastián Lane,Shenzhen,China,1
511,CHESTER,BENNER,CHESTER.BENNER@sakilacustomer.org,1574 Goiânia Boulevard,Suihua,China,1
249,DORA,MEDINA,DORA.MEDINA@sakilacustomer.org,1760 Oshawa Manor,Tianjin,China,1
302,MICHAEL,SILVERMAN,MICHAEL.SILVERMAN@sakilacustomer.org,1908 Gaziantep Place,Tiefa,China,1
599,AUSTIN,CINTRON,AUSTIN.CINTRON@sakilacustomer.org,1325 Fukuyama Street,Tieli,China,1
442,LEROY,BUSTAMANTE,LEROY.BUSTAMANTE@sakilacustomer.org,105 Dzerzinsk Manor,Tongliao,China,1
588,MARION,OCAMPO,MARION.OCAMPO@sakilacustomer.org,1464 Kursk Parkway,Weifang,China,1
241,HEIDI,LARSON,HEIDI.LARSON@sakilacustomer.org,1103 Bilbays Parkway,Xi´angfan,China,0
67,KELLY,TORRES,KELLY.TORRES@sakilacustomer.org,1586 Guarujá Place,Xi´angtan,China,1
564,BOB,PFEIFFER,BOB.PFEIFFER@sakilacustomer.org,415 Pune Avenue,Xintai,China,1
339,WALTER,PERRYMAN,WALTER.PERRYMAN@sakilacustomer.org,1909 Benguela Lane,Xinxiang,China,1
272,KAY,CALDWELL,KAY.CALDWELL@sakilacustomer.org,85 San Felipe de Puerto Plata Drive,Yantai,China,1
484,ROBERTO,VU,ROBERTO.VU@sakilacustomer.org,1297 Alvorada Parkway,Yinchuan,China,1
521,ROLAND,SOUTH,ROLAND.SOUTH@sakilacustomer.org,1993 0 Loop,Yingkou,China,1
154,MICHELE,GRANT,MICHELE.GRANT@sakilacustomer.org,798 Cianjur Avenue,Yuncheng,China,1
324,GARY,COY,GARY.COY@sakilacustomer.org,867 Benin City Avenue,Yuzhou,China,1
93,PHYLLIS,FOSTER,PHYLLIS.FOSTER@sakilacustomer.org,832 Nakhon Sawan Manor,Zalantun,China,1
514,FRANKLIN,TROUTMAN,FRANKLIN.TROUTMAN@sakilacustomer.org,1778 Gijón Manor,Zaoyang,China,1
550,GUY,BROWNLEE,GUY.BROWNLEE@sakilacustomer.org,346 Cam Ranh Avenue,Zhoushan,China,1
235,JACKIE,LYNCH,JACKIE.LYNCH@sakilacustomer.org,98 Stara Zagora Boulevard,Buenaventura,Colombia,1
120,SYLVIA,ORTIZ,SYLVIA.ORTIZ@sakilacustomer.org,241 Mosul Lane,Dos Quebradas,Colombia,1
460,LEON,BOSTIC,LEON.BOSTIC@sakilacustomer.org,734 Tanshui Avenue,Florencia,Colombia,1
180,STACY,CUNNINGHAM,STACY.CUNNINGHAM@sakilacustomer.org,1410 Benin City Parkway,Pereira,Colombia,1
87,WANDA,PATTERSON,WANDA.PATTERSON@sakilacustomer.org,1740 Portoviejo Avenue,Sincelejo,Colombia,1
490,SAM,MCDUFFIE,SAM.MCDUFFIE@sakilacustomer.org,656 Matamoros Drive,Sogamoso,Colombia,1
387,JESSE,SCHILLING,JESSE.SCHILLING@sakilacustomer.org,514 Ife Way,Lubumbashi,"Congo, The Democratic Republic of the",1
375,AARON,SELBY,AARON.SELBY@sakilacustomer.org,1519 Santiago de los Caballeros Loop,Mwene-Ditu,"Congo, The Democratic Republic of the",1
265,JENNIE,TERRY,JENNIE.TERRY@sakilacustomer.org,682 Halisahar Place,Olomouc,Czech Republic,1
437,RANDALL,NEUMANN,RANDALL.NEUMANN@sakilacustomer.org,1245 Ibirité Way,La Romana,Dominican Republic,1
418,JEFF,EAST,JEFF.EAST@sakilacustomer.org,437 Chungho Drive,San Felipe de Puerto Plata,Dominican Republic,1
258,MYRTLE,FLEMING,MYRTLE.FLEMING@sakilacustomer.org,532 Toulon Street,Santiago de los Caballeros,Dominican Republic,1
589,TRACY,HERRMANN,TRACY.HERRMANN@sakilacustomer.org,1074 Sanaa Parkway,Loja,Ecuador,1
262,PATSY,DAVIDSON,PATSY.DAVIDSON@sakilacustomer.org,816 Cayenne Parkway,Portoviejo,Ecuador,1
494,RAMON,CHOATE,RAMON.CHOATE@sakilacustomer.org,1954 Kowloon and New Kowloon Way,Ríobamba,Ecuador,1
559,EVERETT,BANDA,EVERETT.BANDA@sakilacustomer.org,1741 Hoshiarpur Boulevard,Bilbays,Egypt,1
233,LILLIE,KIM,LILLIE.KIM@sakilacustomer.org,1736 Cavite Place,Idfu,Egypt,1
491,RICK,MATTOX,RICK.MATTOX@sakilacustomer.org,775 Šostka Drive,Mit Ghamr,Egypt,1
134,EMMA,BOYD,EMMA.BOYD@sakilacustomer.org,765 Southampton Drive,Qalyub,Egypt,1
423,ALFRED,CASILLAS,ALFRED.CASILLAS@sakilacustomer.org,1727 Matamoros Place,Sawhaj,Egypt,1
119,SHERRY,MARSHALL,SHERRY.MARSHALL@sakilacustomer.org,1987 Coacalco de Berriozábal Loop,Shubra al-Khayma,Egypt,1
444,MARCUS,HIDALGO,MARCUS.HIDALGO@sakilacustomer.org,1289 Belém Boulevard,Tartu,Estonia,1
392,SEAN,DOUGLASS,SEAN.DOUGLASS@sakilacustomer.org,614 Pak Kret Street,Addis Abeba,Ethiopia,1
317,EDWARD,BAUGH,EDWARD.BAUGH@sakilacustomer.org,1359 Zhoushan Parkway,Tórshavn,Faroe Islands,1
298,ERIKA,PENA,ERIKA.PENA@sakilacustomer.org,898 Jining Lane,Oulu,Finland,1
402,LUIS,YANEZ,LUIS.YANEZ@sakilacustomer.org,1346 Mysore Drive,Brest,France,1
162,LAUREN,HUDSON,LAUREN.HUDSON@sakilacustomer.org,1740 Le Mans Loop,Le Mans,France,1
104,RITA,GRAHAM,RITA.GRAHAM@sakilacustomer.org,1386 Yangor Avenue,Toulon,France,1
35,VIRGINIA,GREEN,VIRGINIA.GREEN@sakilacustomer.org,391 Callao Drive,Toulouse,France,1
65,ROSE,HOWARD,ROSE.HOWARD@sakilacustomer.org,698 Otsu Street,Cayenne,French Guiana,1
43,CHRISTINE,ROBERTS,CHRISTINE.ROBERTS@sakilacustomer.org,1447 Imus Way,Faaa,French Polynesia,1
56,GLORIA,COOK,GLORIA.COOK@sakilacustomer.org,1668 Saint Louis Place,Papeete,French Polynesia,1
584,SALVADOR,TEEL,SALVADOR.TEEL@sakilacustomer.org,247 Jining Parkway,Banjul,Gambia,1
114,GRACE,ELLIS,GRACE.ELLIS@sakilacustomer.org,442 Rae Bareli Place,Duisburg,Germany,1
448,MIGUEL,BETANCOURT,MIGUEL.BETANCOURT@sakilacustomer.org,319 Springs Loop,Erlangen,Germany,1
251,VICKIE,BREWER,VICKIE.BREWER@sakilacustomer.org,1966 Tonghae Street,Halle/Saale,Germany,1
196,ALMA,AUSTIN,ALMA.AUSTIN@sakilacustomer.org,1074 Binzhou Manor,Mannheim,Germany,1
227,COLLEEN,BURTON,COLLEEN.BURTON@sakilacustomer.org,430 Alessandria Loop,Saarbrücken,Germany,1
195,VANESSA,SIMS,VANESSA.SIMS@sakilacustomer.org,1792 Valle de la Pascua Place,Siegen,Germany,1
201,VICKI,FIELDS,VICKI.FIELDS@sakilacustomer.org,68 Molodetšno Manor,Witten,Germany,1
3,LINDA,WILLIAMS,LINDA.WILLIAMS@sakilacustomer.org,692 Joliet Street,Athenai,Greece,1
596,ENRIQUE,FORSYTHE,ENRIQUE.FORSYTHE@sakilacustomer.org,1101 Bucuresti Boulevard,Patras,Greece,1
207,GERTRUDE,CASTILLO,GERTRUDE.CASTILLO@sakilacustomer.org,850 Salala Loop,Nuuk,Greenland,1
26,JESSICA,HALL,JESSICA.HALL@sakilacustomer.org,18 Duisburg Boulevard,Città del Vaticano,Holy See (Vatican City State),1
289,VIOLET,RODRIQUEZ,VIOLET.RODRIQUEZ@sakilacustomer.org,1912 Allende Manor,Kowloon and New Kowloon,Hong Kong,1
